Title,Artist,Blues,Classical,Country,Disco,HipHop,Jazz,Metal,Pop,Reggae,Rock,Time Classified
Rain,Unprocessed,25.050562620162964,74.57073926925659,0.1081359107047319,0.0250925135333091,1.901537061144154e-06,2.583084324214724e-05,7.4702227736978e-08,0.2448518527671694,0.0005656254415953,2.5795492319957702e-05,2022-11-18 05:33:04.633578
"Frédéric Chopin: Nocturne in E-Flat Major, Op. 9, No. 2",Vadim Chaimovich,0.5581535142043541,84.59221412395608,0.0085516294849843,1.8687227676654683,6.367346336101663,0.0901145539407072,6.2660920208898085,0.0036176081329327,0.0162325285632034,0.2289745314367886,2022-11-18 05:36:27.739634
Smells Like Teen Spirit,Nirvana,0.5589028370791468,76.06160394076643,0.0085336661993943,1.8886335964860588,6.370389050450818,0.0009428203940905,12.803878455326476,0.00467743355267,0.1567506713086161,2.1456841764778924,2022-11-18 05:39:57.325229
Smells Like Teen Spirit,Nirvana,0.5572647370141128,76.06238003434807,0.0085342410502248,1.8687237953317577,6.367358668097134,0.0009619406071202,13.595134636451458,0.0037590475303345,0.0193172295031876,1.516564344537669,2022-11-18 05:46:34.496113
"Frédéric Chopin: Nocturne in E-Flat Major, Op. 9, No. 2",Vadim Chaimovich,0.6041896477174223,93.92735341961463,0.2255930826905068,0.0021352638030068,0.0204012865263424,4.411587822303344,8.275651708480724e-06,0.7892435186364677,3.702893480478676e-06,0.0195066078325335,2022-11-19 20:23:22.796402
Wishing Well,Morphine,0.5751243468081013,84.11667213011323,0.5731373020772184,0.0021699686492845,0.0006542120552674,3.184944056393056,0.001122221988992,0.7837728168187517,0.0002433917533574,10.762155725714866,2022-11-19 20:25:44.489848
32 Flavors,Ani DiFranco,0.5622261695647507,84.11668927482005,0.3195894903011536,0.002135465109951,0.0048284277612908,3.145923239461492,0.025861712402842,0.8148201395956319,0.0006396096497983,11.007289672165774,2022-11-19 20:26:34.549050
Filtered African Blues (FNX Omar Remix),Oscar P & FNX OMAR,10.17490772718794,84.3176080939475,1.407957746741477,0.0021068487850049,0.0106067846665221,3.227120035150078,1.5085989933426944e-05,0.7833805646789208,0.0001209001566984,0.0761785617705141,2022-11-19 20:27:27.789424
Best of Intentions,Travis Tritt,1.2598079242063374,84.11671499188027,10.708171330141218,0.0021067353781689,2.7083390531505543e-06,3.0673321713222546,7.274578554520457e-06,0.7833788234196353,3.074915542364058e-05,0.0624594561169656,2022-11-19 20:28:29.047168
Ironic,Alanis Morissette,0.5625359797745608,84.13191377446893,1.6319304369808583,0.0037684275381518213,8.073005047979964e-06,3.0740400378623707,0.11403092674994737,9.985021526893872,5.669052156049424e-05,0.4966864760002393,2022-11-19 20:29:36.003681
